,date,merchant,description,money_out,money_in,account,account_country,spending_category,type,original_currency_amount,currency,conversion_rate,merchant_town,merchant_postcode,merchant_country
177,2022-03-25 00:00:00,NS GROEP IZ NS REIZIGERS,Factuur: 430006104048,47.54,,bunq,NL,,,,euro,,,,
178,2022-03-25 00:00:00,T-MOBILE THUIS B.V.,T-Mobile Thuis NTV56735 Factuur TMT1022437939,35.0,,bunq,NL,,,,euro,,,,
179,2022-03-25 00:00:00,PVH EUROPE,Salary March 2022,,1937.06,bunq,NL,,,,euro,,,,
180,2022-03-25 00:00:00,SEP*BLUEYS Bar,"SEP*BLUEYS Bar Amsterdam, NL",19.3,,bunq,NL,,,,euro,,,,
181,2022-03-25 00:00:00,HOTEL WINSTON,"HOTEL WINSTON AMSTERDAM, NL",10.0,,bunq,NL,,,,euro,,,,
182,2022-03-26 00:00:00,ZTL*Blik op de Zaan,"ZTL*Blik op de Zaan Zaandam, NL",2.5,,bunq,NL,,,,euro,,,,
183,2022-03-26 00:00:00,Henri Willig Kaas BV,"Henri Willig Kaas BV Zaandam, NL",11.95,,bunq,NL,,,,euro,,,,
184,2022-03-26 00:00:00,CCV*Hotel Zaandijk Exp,"CCV*Hotel Zaandijk Exp ZAANDYK, NL",16.15,,bunq,NL,,,,euro,,,,
185,2022-03-27 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",9.92,,bunq,NL,,,,euro,,,,
186,2022-03-27 00:00:00,bol.com b.v. collecting for bol.com,1343864803 0051100069654112 bol.com ref 1343864803 bol.com,25.01,,bunq,NL,,,,euro,,,,
187,2022-03-27 00:00:00,Boerschappen via Mollie,M03644394MCSD1TA 0020006460623130 Boerschappen - bestelling #29991,48.85,,bunq,NL,,,,euro,,,,
188,2022-03-27 00:00:00,wix.com by Adyen,MW8B389CFVNCPK52 0030009965267162 easylaughs.nl,12.5,,bunq,NL,,,,euro,,,,
189,2022-03-27 00:00:00,Amazon Payments Europe SCA collecting for AMZN MKTP NL,4RT86Z4 0140000068365376 Amzn Mktp NL AMZN MKTP NL,55.97,,bunq,NL,,,,euro,,,,
190,2022-03-27 00:00:00,Nomzamo,,1500.0,,bunq,NL,,,,euro,,,,
191,2022-03-27 00:00:00,Nomzamo,,100.0,,bunq,NL,,,,euro,,,,
192,2022-03-27 00:00:00,Nomzamo,,250.0,,bunq,NL,,,,euro,,,,
193,2022-03-27 00:00:00,Nomzamo,,50.0,,bunq,NL,,,,euro,,,,
194,2022-03-27 00:00:00,Nomzamo,,50.0,,bunq,NL,,,,euro,,,,
195,2022-03-27 00:00:00,Nomzamo,,100.0,,bunq,NL,,,,euro,,,,
196,2022-03-27 00:00:00,Nomzamo,,150.0,,bunq,NL,,,,euro,,,,
197,2022-03-27 00:00:00,Nomzamo,,80.0,,bunq,NL,,,,euro,,,,
198,2022-03-27 00:00:00,N. Ncube,Currency Conversion EUR-GBP (2750.00),2750.0,,bunq,NL,,,,euro,,,,
199,2022-03-27 00:00:00,bunq,invoice 8074508,0.7,,bunq,NL,,,,euro,,,,
200,2022-03-27 00:00:00,N. Ncube,MW8B389CFVNCPK52 0030009965267162 easylaughs.nl,,12.5,bunq,NL,,,,euro,,,,
201,2022-03-27 00:00:00,N. Ncube,"ALBERT HEIJN 2211 AMSTERDAM, NL",,9.92,bunq,NL,,,,euro,,,,
202,2022-03-27 00:00:00,N. Ncube,M03644394MCSD1TA 0020006460623130 Boerschappen - bestelling #29991,,48.85,bunq,NL,,,,euro,,,,
203,2022-03-27 00:00:00,N. Ncube,MW8B389CFVNCPK52 0030009965267162 easylaughs.nl,,12.5,bunq,NL,,,,euro,,,,
204,2022-03-27 00:00:00,N. Ncube,"Henri Willig Kaas BV Zaandam, NL",,11.95,bunq,NL,,,,euro,,,,
205,2022-03-27 00:00:00,N. Ncube,T-Mobile Thuis NTV56735 Factuur TMT1022437939,,35.0,bunq,NL,,,,euro,,,,
206,2022-03-27 00:00:00,N. Ncube,"SEP*BLUEYS Bar Amsterdam, NL",,19.3,bunq,NL,,,,euro,,,,
207,2022-03-27 00:00:00,N. Ncube,"CCV*Hotel Zaandijk Exp ZAANDYK, NL",,16.15,bunq,NL,,,,euro,,,,
208,2022-03-27 00:00:00,N. Ncube,"ZTL*Blik op de Zaan Zaandam, NL",,2.5,bunq,NL,,,,euro,,,,
209,2022-03-27 00:00:00,N. Ncube,Factuur: 430006104048,,47.54,bunq,NL,,,,euro,,,,
210,2022-03-28 00:00:00,Amazon EU SARL,2D6EHIS 0140000418475835 AmazonRetail,20.04,,bunq,NL,,,,euro,,,,
211,2022-03-29 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",6.0,,bunq,NL,,,,euro,,,,
212,2022-03-29 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",2.0,,bunq,NL,,,,euro,,,,
213,2022-03-29 00:00:00,AH to go Oostt.5822,"AH to go Oostt.5822 AMSTERDAM, NL",1.05,,bunq,NL,,,,euro,,,,
214,2022-03-29 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",8.67,,bunq,NL,,,,euro,,,,
215,2022-03-30 00:00:00,N. Ncube,"AH to go Oostt.5822 AMSTERDAM, NL",,1.05,bunq,NL,,,,euro,,,,
216,2022-03-30 00:00:00,N. Ncube,"ALBERT HEIJN 2211 AMSTERDAM, NL",,8.67,bunq,NL,,,,euro,,,,
217,2022-03-30 00:00:00,N. Ncube,"AH to go Oostt.5822 AMSTERDAM, NL",,0.52,bunq,NL,,,,euro,,,,
218,2022-03-30 00:00:00,Zneckbar V.O.F.,"Zneckbar V.O.F. AMSTERDAM, NL",7.75,,bunq,NL,,,,euro,,,,
219,2022-03-31 00:00:00,Peoples Place Bryant P,"Peoples Place Bryant P Amterdam, NL",2.4,,bunq,NL,,,,euro,,,,
220,2022-03-31 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",6.0,,bunq,NL,,,,euro,,,,
221,2022-03-31 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",2.0,,bunq,NL,,,,euro,,,,
222,2022-03-31 00:00:00,Trainmore Piet Heinkade,29-03-2022 / 25-04-2022,42.0,,bunq,NL,,,,euro,,,,
223,2022-03-31 00:00:00,Peoples Place Manhatta,"Peoples Place Manhatta Amsterdam, NL",1.0,,bunq,NL,,,,euro,,,,
224,2022-03-31 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",17.0,,bunq,NL,,,,euro,,,,
225,2022-03-31 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",3.5,,bunq,NL,,,,euro,,,,
226,2022-03-31 00:00:00,ABN AMRO Bank NV,000443324103 0030010007658210 Kolar NL37ABNA0824274660,8.5,,bunq,NL,,,,euro,,,,
227,2022-04-01 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",1.54,,bunq,NL,,,,euro,,,,
228,2022-04-01 00:00:00,N. Ncube,29-03-2022 / 25-04-2022,,42.0,bunq,NL,,,,euro,,,,
229,2022-04-01 00:00:00,N. Ncube,,,10.0,bunq,NL,,,,euro,,,,
230,2022-04-01 00:00:00,Nomzamo,,10.0,,bunq,NL,,,,euro,,,,
231,2022-04-01 00:00:00,N. Ncube,Currency Conversion ZAR-EUR (112.00),,6.89,bunq,NL,,,,euro,,,,
232,2022-04-01 00:00:00,N. Ncube,"Zneckbar V.O.F. AMSTERDAM, NL",,7.75,bunq,NL,,,,euro,,,,
233,2022-04-01 00:00:00,N. Ncube,"Peoples Place Bryant P Amterdam, NL",,2.4,bunq,NL,,,,euro,,,,
234,2022-04-01 00:00:00,N. Ncube,"Peoples Place Hudson Amsterdam, NL",,6.0,bunq,NL,,,,euro,,,,
235,2022-04-01 00:00:00,N. Ncube,"Peoples Place Hudson Amsterdam, NL",,2.0,bunq,NL,,,,euro,,,,
236,2022-04-01 00:00:00,N. Ncube,"Peoples Place Manhatta Amsterdam, NL",,1.0,bunq,NL,,,,euro,,,,
237,2022-04-01 00:00:00,N. Ncube,"Peoples Place Hudson Amsterdam, NL",,3.5,bunq,NL,,,,euro,,,,
238,2022-04-01 00:00:00,Nomzamo,,50.0,,bunq,NL,,,,euro,,,,
239,2022-04-01 00:00:00,N. Ncube,"Peoples Place Hudson Amsterdam, NL",,17.0,bunq,NL,,,,euro,,,,
240,2022-04-01 00:00:00,N. Ncube,000443324103 0030010007658210 Kolar NL37ABNA0824274660,,8.5,bunq,NL,,,,euro,,,,
241,2022-04-01 00:00:00,bunq,Interest payment,,0.13,bunq,NL,,,,euro,,,,
242,2022-04-02 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",8.72,,bunq,NL,,,,euro,,,,
243,2022-04-02 00:00:00,N. Ncube,"ALBERT HEIJN 2211 AMSTERDAM, NL",,8.72,bunq,NL,,,,euro,,,,
244,2022-04-02 00:00:00,De Notenshop V.O.F. by Buckaroo,101026806 1030000588441207 De Notenshop - Buckaroo,66.6,,bunq,NL,,,,euro,,,,
245,2022-04-02 00:00:00,CCV*KFC BOS EM LOMMER,"CCV*KFC BOS EM LOMMER AMSTERDAM, NL",4.95,,bunq,NL,,,,euro,,,,
246,2022-04-03 00:00:00,CCV*Little Collins Wes,"CCV*Little Collins Wes AMSTERDAM, NL",20.25,,bunq,NL,,,,euro,,,,
247,2022-04-03 00:00:00,Blokker421Amsterdam,"Blokker421Amsterdam AMSTERDAM, NL",16.05,,bunq,NL,,,,euro,,,,
248,2022-04-03 00:00:00,K.N. Maisiri,,,10.95,bunq,NL,,,,euro,,,,
249,2022-04-03 00:00:00,Drogisterij IJburg,"Drogisterij IJburg AMSTERDAM, NL",6.45,,bunq,NL,,,,euro,,,,
250,2022-04-03 00:00:00,Vomar IJburg,"Vomar IJburg AMSTERDAM, NL",40.01,,bunq,NL,,,,euro,,,,
251,2022-04-04 00:00:00,Easylaughs School of Improvisation Stichting,REFUND - CNCLD - Improv Taster - 02 Apr,,12.5,bunq,NL,,,,euro,,,,
252,2022-04-04 00:00:00,N. Ncube,"Vomar IJburg AMSTERDAM, NL",,40.01,bunq,NL,,,,euro,,,,
253,2022-04-04 00:00:00,Waternet/Gem. Amsterdam,"Klant: 1020036058, Factuur: 2016717342",12.0,,bunq,NL,,,,euro,,,,
254,2022-04-04 00:00:00,BUDGET MOB HOL VH BUDGET,O227078490/+31610316325 - Onbeperkt 1 jaar (kenmerk: 1200-0000-3125-9548),20.0,,bunq,NL,,,,euro,,,,
255,2022-04-04 00:00:00,H.A.Ligtvoet,Nomie,120.0,,bunq,NL,,,,euro,,,,
256,2022-04-05 00:00:00,Peoples Place Manhatta,"Peoples Place Manhatta Amsterdam, NL",2.5,,bunq,NL,,,,euro,,,,
257,2022-04-05 00:00:00,Peoples Place Bryant P,"Peoples Place Bryant P Amterdam, NL",2.4,,bunq,NL,,,,euro,,,,
258,2022-04-05 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",6.0,,bunq,NL,,,,euro,,,,
259,2022-04-05 00:00:00,BPD Woningfonds,216102547 / APRIL 2022 EEF KAMERBEEKSTRAAT 206 BPD WONINGFONDS N. Ncube,1207.0,,bunq,NL,,,,euro,,,,
260,2022-04-05 00:00:00,N. Ncube,216102547 / APRIL 2022 EEF KAMERBEEKSTRAAT 206 BPD WONINGFONDS N. Ncube,,1207.0,bunq,NL,,,,euro,,,,
261,2022-04-05 00:00:00,RITUALS COSMETICS NETH,"RITUALS COSMETICS NETH Amsterdam, NL",23.9,,bunq,NL,,,,euro,,,,
262,2022-04-05 00:00:00,PYV*Manneken Pis,"PYV*Manneken Pis AMSTERDAM, NL",4.9,,bunq,NL,,,,euro,,,,
263,2022-04-06 00:00:00,GREENCHOICE,Uw termijnnota met notanummer GC0086706402 over april 2022 voor postcode 1095MP,50.0,,bunq,NL,,,,euro,,,,
264,2022-04-06 00:00:00,Coolblue,WC8KFTNL7HBSC2C2JFZS 0180209628048082 trnsnr:446048806,149.0,,bunq,NL,,,,euro,,,,
265,2022-04-06 00:00:00,CCV*CAMEEL BV,"CCV*CAMEEL BV AMSTERDAM, NL",65.7,,bunq,NL,,,,euro,,,,
266,2022-04-06 00:00:00,Mw P Budusan,,,34.0,bunq,NL,,,,euro,,,,
267,2022-04-08 00:00:00,N. Ncube,,16.5,,bunq,NL,,,,euro,,,,
268,2022-04-09 00:00:00,ZTL*Espressi,"ZTL*Espressi AMSTERDAM, NL",10.0,,bunq,NL,,,,euro,,,,
269,2022-04-09 00:00:00,ZTL*Espressi,"Refund: ZTL*Espressi AMSTERDAM, NL",,10.0,bunq,NL,,,,euro,,,,
270,2022-04-09 00:00:00,ZTL*Espressi,"ZTL*Espressi AMSTERDAM, NL",7.0,,bunq,NL,,,,euro,,,,
271,2022-04-09 00:00:00,Stage Heroes via Mollie,M05828314MCWKQX9 1150010094495984 3646257 stageheroes.nl,361.79,,bunq,NL,,,,euro,,,,
272,2022-04-09 00:00:00,ETOS 7596,"ETOS 7596 AMSTERDAM, NL",15.17,,bunq,NL,,,,euro,,,,
273,2022-04-09 00:00:00,Albert Heijn 1040,"Albert Heijn 1040 AMSTERDAM, NL",4.71,,bunq,NL,,,,euro,,,,
274,2022-04-11 00:00:00,Trekpleister 1431,"Trekpleister 1431 AMSTERDAM, NL",1.29,,bunq,NL,,,,euro,,,,
275,2022-04-11 00:00:00,ABN AMRO Bank NV,000448020943 0030010115408708 Donata Kukyte NL50ABNA0868176044,15.0,,bunq,NL,,,,euro,,,,
276,2022-04-12 00:00:00,STRIPE,TICKETSWAP,,31.54,bunq,NL,,,,euro,,,,
277,2022-04-12 00:00:00,Peoples Place Manhatta,"Peoples Place Manhatta Amsterdam, NL",3.75,,bunq,NL,,,,euro,,,,
278,2022-04-12 00:00:00,Peoples Place Bryant P,"Peoples Place Bryant P Amterdam, NL",2.0,,bunq,NL,,,,euro,,,,
279,2022-04-13 00:00:00,Action 1374,"Action 1374 Amsterdam, NL",71.39,,bunq,NL,,,,euro,,,,
280,2022-04-13 00:00:00,N. Ncube,,,16.5,bunq,NL,,,,euro,,,,
281,2022-04-14 00:00:00,Decathlon Netherlands B.V. by Buckaroo,nl1682854366 1030000596416392 nl1682854366 - decathlon.nl,4.99,,bunq,NL,,,,euro,,,,
282,2022-04-14 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",0.99,,bunq,NL,,,,euro,,,,
283,2022-04-14 00:00:00,Amazon EU SARL,4X8EKLU 0140000069455714 AmazonRetail,149.99,,bunq,NL,,,,euro,,,,
284,2022-04-14 00:00:00,SEP*BLUEYS Bar,"SEP*BLUEYS Bar Amsterdam, NL",4.8,,bunq,NL,,,,euro,,,,
285,2022-04-14 00:00:00,Action 1374,"Action 1374 Amsterdam, NL",23.44,,bunq,NL,,,,euro,,,,
286,2022-04-15 00:00:00,CCV*Sami Hair & Beauty,"CCV*Sami Hair & Beauty AMSTERDAM, NL",12.0,,bunq,NL,,,,euro,,,,
287,2022-04-15 00:00:00,Decathlon Amsterdam,"Decathlon Amsterdam AMSTERDAM ZUI, NL",24.98,,bunq,NL,,,,euro,,,,
288,2022-04-15 00:00:00,SEP*30ML COFFEE & FOOD,"SEP*30ML COFFEE & FOOD Amsterdam-Zui, NL",26.35,,bunq,NL,,,,euro,,,,
289,2022-04-15 00:00:00,IKEA Amsterdam,"IKEA Amsterdam AMSTERDAM, NL",1.99,,bunq,NL,,,,euro,,,,
290,2022-04-15 00:00:00,IKEA Amsterdam,"IKEA Amsterdam AMSTERDAM, NL",51.71,,bunq,NL,,,,euro,,,,
291,2022-04-15 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",10.18,,bunq,NL,,,,euro,,,,
292,2022-04-17 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",2.59,,bunq,NL,,,,euro,,,,
293,2022-04-17 00:00:00,Albert Heijn 1328,"Albert Heijn 1328 AMSTERDAM, NL",6.59,,bunq,NL,,,,euro,,,,
294,2022-04-17 00:00:00,SumUp  *Vondelpark,"SumUp  *Vondelpark Diemen, NL",1.0,,bunq,NL,,,,euro,,,,
295,2022-04-17 00:00:00,PJ Overtoom,"PJ Overtoom AMSTERDAM, NL",18.48,,bunq,NL,,,,euro,,,,
296,2022-04-18 00:00:00,PYV*Manneken Pis,"PYV*Manneken Pis AMSTERDAM, NL",5.2,,bunq,NL,,,,euro,,,,
297,2022-04-18 00:00:00,ETOS 7763,"ETOS 7763 AMSTERDAM, NL",15.74,,bunq,NL,,,,euro,,,,
298,2022-04-18 00:00:00,Action 1374,"Action 1374 Amsterdam, NL",19.9,,bunq,NL,,,,euro,,,,
299,2022-04-18 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",8.34,,bunq,NL,,,,euro,,,,
300,2022-04-19 00:00:00,bunq,invoice 8268634,8.99,,bunq,NL,,,,euro,,,,
301,2022-04-19 00:00:00,Peoples Place Manhatta,"Peoples Place Manhatta Amsterdam, NL",4.0,,bunq,NL,,,,euro,,,,
302,2022-04-19 00:00:00,Peoples Place Manhatta,"Peoples Place Manhatta Amsterdam, NL",4.0,,bunq,NL,,,,euro,,,,
303,2022-04-19 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",2.9,,bunq,NL,,,,euro,,,,
304,2022-04-19 00:00:00,DITZO,7585397304 Premie periode 15-04-2022 - 14-05-2022 Ditzo Doorlopende Reisverz.,2.77,,bunq,NL,,,,euro,,,,
305,2022-04-19 00:00:00,Trekpleister 1431,"Trekpleister 1431 AMSTERDAM, NL",3.99,,bunq,NL,,,,euro,,,,
306,2022-04-19 00:00:00,Salsa Shop Fer Bol,"Salsa Shop Fer Bol AMSTERDAM, NL",9.95,,bunq,NL,,,,euro,,,,
307,2022-04-20 00:00:00,N. Ncube,"SEP*BLUEYS Bar Amsterdam, NL",,4.8,bunq,NL,,,,euro,,,,
308,2022-04-20 00:00:00,N. Ncube,"ALBERT HEIJN 2211 AMSTERDAM, NL",,10.18,bunq,NL,,,,euro,,,,
309,2022-04-20 00:00:00,N. Ncube,"ALBERT HEIJN 2211 AMSTERDAM, NL",,2.59,bunq,NL,,,,euro,,,,
310,2022-04-20 00:00:00,N. Ncube,"Albert Heijn 1328 AMSTERDAM, NL",,6.59,bunq,NL,,,,euro,,,,
311,2022-04-20 00:00:00,N. Ncube,"ALBERT HEIJN 2211 AMSTERDAM, NL",,8.34,bunq,NL,,,,euro,,,,
312,2022-04-20 00:00:00,Nomzamo,,50.0,,bunq,NL,,,,euro,,,,
313,2022-04-20 00:00:00,N. Ncube,"Peoples Place Manhatta Amsterdam, NL",,4.0,bunq,NL,,,,euro,,,,
314,2022-04-20 00:00:00,N. Ncube,"Salsa Shop Fer Bol AMSTERDAM, NL",,9.95,bunq,NL,,,,euro,,,,
315,2022-04-20 00:00:00,N. Ncube,"Peoples Place Hudson Amsterdam, NL",,2.9,bunq,NL,,,,euro,,,,
316,2022-04-20 00:00:00,N. Ncube,"Peoples Place Hudson Amsterdam, NL",,2.9,bunq,NL,,,,euro,,,,
317,2022-04-20 00:00:00,N. Ncube,"Peoples Place Manhatta Amsterdam, NL",,4.0,bunq,NL,,,,euro,,,,
318,2022-04-20 00:00:00,N. Ncube,"Peoples Place Manhatta Amsterdam, NL",,4.0,bunq,NL,,,,euro,,,,
319,2022-04-20 00:00:00,N. Ncube,"SEP*30ML COFFEE & FOOD Amsterdam-Zui, NL",,26.35,bunq,NL,,,,euro,,,,
320,2022-04-20 00:00:00,N. Ncube,"Peoples Place Bryant P Amterdam, NL",,2.0,bunq,NL,,,,euro,,,,
321,2022-04-20 00:00:00,V.O.F. Zorg en Natuur via Mollie,M13571171MCZLIAW 1150010193800342 Order 268563 zorgnatuur.nl,104.95,,bunq,NL,,,,euro,,,,
322,2022-04-20 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",13.15,,bunq,NL,,,,euro,,,,
323,2022-04-21 00:00:00,AH togo A'damOst 5822,"AH togo A'damOst 5822 AMSTERDAM, NL",1.8,,bunq,NL,,,,euro,,,,
324,2022-04-21 00:00:00,RAP*PVH Sample Sale,"RAP*PVH Sample Sale HOOFDDORP, NL",66.15,,bunq,NL,,,,euro,,,,
325,2022-04-23 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",0.99,,bunq,NL,,,,euro,,,,
326,2022-04-23 00:00:00,iZ *Vu QT,"iZ *Vu QT HEERHUGOWAARD, NL",3.0,,bunq,NL,,,,euro,,,,
327,2022-04-23 00:00:00,C&M*De Vierslag,"C&M*De Vierslag NIEUWEROORD, NL",33.6,,bunq,NL,,,,euro,,,,
328,2022-04-23 00:00:00,Winkel 43,"Winkel 43 AMSTERDAM, NL",4.3,,bunq,NL,,,,euro,,,,
329,2022-04-23 00:00:00,ETOS 7776,"ETOS 7776 AMSTERDAM, NL",26.47,,bunq,NL,,,,euro,,,,
330,2022-04-23 00:00:00,Cafe Czaar,"Cafe Czaar Amsterdam, NL",18.6,,bunq,NL,,,,euro,,,,
331,2022-04-23 00:00:00,ALBERT HEIJN 1117,"ALBERT HEIJN 1117 AMSTERDAM, NL",2.2,,bunq,NL,,,,euro,,,,
332,2022-04-24 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",5.04,,bunq,NL,,,,euro,,,,
333,2022-04-25 00:00:00,PVH EUROPE,Salary April 2022,,3368.03,bunq,NL,,,,euro,,,,
334,2022-04-26 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",5.91,,bunq,NL,,,,euro,,,,
335,2022-04-26 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",8.5,,bunq,NL,,,,euro,,,,
336,2022-04-27 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",9.52,,bunq,NL,,,,euro,,,,
337,2022-04-27 00:00:00,iZ *Kafenio,"iZ *Kafenio AMSTERDAM, NL",3.75,,bunq,NL,,,,euro,,,,
338,2022-04-27 00:00:00,ZTL*Unit Catering BV,"ZTL*Unit Catering BV Medemblik, NL",4.5,,bunq,NL,,,,euro,,,,
339,2022-04-27 00:00:00,Bar Twenty Two,"Bar Twenty Two AMSTERDAM, NL",16.5,,bunq,NL,,,,euro,,,,
340,2022-04-28 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",2.05,,bunq,NL,,,,euro,,,,
341,2022-04-28 00:00:00,Waternet/Gem. Amsterdam,"Klant: 1020036058, Factuur: 2017240743",13.0,,bunq,NL,,,,euro,,,,
342,2022-04-28 00:00:00,Trainmore Piet Heinkade,26-04-2022 / 23-05-2022,41.0,,bunq,NL,,,,euro,,,,
343,2022-04-29 00:00:00,NS GROEP IZ NS REIZIGERS,Factuur: 450006054459,141.56,,bunq,NL,,,,euro,,,,
344,2022-04-29 00:00:00,CCV*DOE MAAR LEKKER BV,"CCV*DOE MAAR LEKKER BV AMSTERDAM, NL",24.0,,bunq,NL,,,,euro,,,,
345,2022-04-30 00:00:00,Treatwell BNL B.V.,2JCTG7B 0140000424655442 TREATWELL,50.0,,bunq,NL,,,,euro,,,,
346,2022-04-30 00:00:00,Cafe Brecht,"Cafe Brecht AMSTERDAM, NL",7.0,,bunq,NL,,,,euro,,,,
347,2022-04-30 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",10.74,,bunq,NL,,,,euro,,,,
348,2022-05-01 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",0.99,,bunq,NL,,,,euro,,,,
349,2022-05-01 00:00:00,bunq,Interest payment,,0.17,bunq,NL,,,,euro,,,,
350,2022-05-01 00:00:00,Twinsport Amsterdam,"Twinsport Amsterdam AMSTERDAM, NL",29.99,,bunq,NL,,,,euro,,,,
351,2022-05-01 00:00:00,Delicatesse Shilla,"Delicatesse Shilla AMSTERDAM, NL",28.5,,bunq,NL,,,,euro,,,,
352,2022-05-01 00:00:00,CCV*TANUKI JAPANS EETC,"CCV*TANUKI JAPANS EETC AMSTERDAM, NL",6.45,,bunq,NL,,,,euro,,,,
353,2022-05-03 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",6.0,,bunq,NL,,,,euro,,,,
354,2022-05-03 00:00:00,Peoples Place Hudson,"Peoples Place Hudson Amsterdam, NL",2.5,,bunq,NL,,,,euro,,,,
355,2022-05-03 00:00:00,PURCHASE SAMPLE SALE,"PURCHASE SAMPLE SALE HOOFDDORP, NL",235.2,,bunq,NL,,,,euro,,,,
356,2022-05-03 00:00:00,Nomzamo,,1500.0,,bunq,NL,,,,euro,,,,
357,2022-05-03 00:00:00,BPD Woningfonds,216103500 / MEI 2022 EEF KAMERBEEKSTRAAT 206 BPD WONINGFONDS N. Ncube,1207.0,,bunq,NL,,,,euro,,,,
358,2022-05-03 00:00:00,Vattenfall Klantenservice N.V.,"517503894821 Factnr 40052262423 BTW 13,02 Termijn apr 2022 Klantnr 25131236 CRN 3015061646 Eef Kamerbeekstra 206  1095 MP AMST",75.0,,bunq,NL,,,,euro,,,,
359,2022-05-03 00:00:00,N. Ncube,216103500 / MEI 2022 EEF KAMERBEEKSTRAAT 206 BPD WONINGFONDS N. Ncube,,1207.0,bunq,NL,,,,euro,,,,
360,2022-05-03 00:00:00,NOODLEBAR CENTRAAL,"NOODLEBAR CENTRAAL AMSTERDAM, NL",7.5,,bunq,NL,,,,euro,,,,
361,2022-05-03 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",4.68,,bunq,NL,,,,euro,,,,
362,2022-05-04 00:00:00,BUDGET MOBIEL,O227280301/+31610316325 - Onbeperkt 1 jaar (kenmerk: 1200-0000-3125-9548),20.0,,bunq,NL,,,,euro,,,,
363,2022-05-05 00:00:00,SNS Betaalverzoek,GAsare 0750010366924688 NL33SNSB0787869163 Diversen,130.0,,bunq,NL,,,,euro,,,,
364,2022-05-06 00:00:00,GREENCHOICE,Uw termijnnota met notanummer GC0087374234 over mei 2022 voor postcode 1095MP,50.0,,bunq,NL,,,,euro,,,,
365,2022-05-06 00:00:00,CCV*CAFE VAN ZUYLEN,"CCV*CAFE VAN ZUYLEN AMSTERDAM, NL",17.6,,bunq,NL,,,,euro,,,,
366,2022-05-07 00:00:00,Menzies Aviation,"Menzies Aviation LUCHTHAVEN SC, NL",29.0,,bunq,NL,,,,euro,,,,
367,2022-05-12 00:00:00,ALBERT HEIJN 1653,"ALBERT HEIJN 1653 SCHIPHOL, NL",7.07,,bunq,NL,,,,euro,,,,
368,2022-05-13 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",2.99,,bunq,NL,,,,euro,,,,
369,2022-05-13 00:00:00,Thuisbezorgd.nl via Takeaway.com,WMTCAB 0030010442331432 bestelling Natraj Indian Resta via,24.08,,bunq,NL,,,,euro,,,,
370,2022-05-14 00:00:00,DERMA KLINIEK AMSTERDA,"DERMA KLINIEK AMSTERDA AMSTERDAM, NL",892.0,,bunq,NL,,,,euro,,,,
371,2022-05-15 00:00:00,Amazon Payments Europe SCA collecting for AMZN MKTP NL,3MOF8XQ 0140000441442360 Amzn Mktp NL AMZN MKTP NL,58.96,,bunq,NL,,,,euro,,,,
372,2022-05-15 00:00:00,ALBERT HEIJN 2211,"ALBERT HEIJN 2211 AMSTERDAM, NL",15.36,,bunq,NL,,,,euro,,,,
